"","V1","V2","V3"
"1","0","Westiellamide","0.359420289855072"
"2","1","Trichormamide B","0.690045248868778"
"3","1","Tricholide B","0.245762711864407"
"4","1","Tricholide A","0.262969588550984"
"5","0","Smenamide C","0.219647822057461"
"6","1","Credneramide A","0.320359281437126"
"7","1","Credneramide B","0.205696202531646"
"8","0","Smenamide E","0.255075022065313"
"9","0","Smenamide D","0.219647822057461"
"10","0","Trichophycin A","0.246515679442509"
"11","0","Tjipanazole G2","0.14507299270073"
"12","0","Tjipanazole G1","0.14507299270073"
"13","0","Tjipanazole J","0.134909596662031"
"14","1","Tjipanazole D","0.13953488372093"
"15","0","Tjipanazole F2","0.157680569684639"
"16","0","Tjipanazole C4","0.149606299212598"
"17","0","Tjipanazole C2","0.149606299212598"
"18","1","Tjipanazole I","0.150684931506849"
"19","0","Tjipanazole F1","0.157680569684639"
"20","0","Tjipanazole C3","0.149606299212598"
"21","0","Tjipanazole C1","0.149606299212598"
"22","0","Tjipanazole B","0.164506480558325"
"23","1","Tjipanazole A2","0.155048076923077"
"24","0","Tjipanazole E","0.159133709981168"
"25","1","Tjipanazole A1","0.155048076923077"
"26","1","Tolyporphin C","0.255670103092783"
"27","0","Tolyporphin K","0.235559566787004"
"28","0","Tolyporphin E","0.28377358490566"
"29","0","Tolyporphin F","0.288235294117647"
"30","1","Tolyporphin B","0.254635352286774"
"31","0","Tolyporphin D","0.25191905094208"
"32","0","Tolyporphin I","0.215808170515098"
"33","0","Tolyporphin G","0.215277777777778"
"34","0","Tolyporphin H","0.215277777777778"
"35","0","Tolyporphin J","0.180032733224223"
"36","1","Tolybyssidin A","0.550520997789706"
"37","0","Tolypodiol","0.416547788873039"
"38","0","Nakienone C","0.19634703196347"
"39","0","Nakienone B","0.139130434782609"
"40","0","Nakienone A","0.149122807017544"
"41","1","Nakitriol","0.0945454545454545"
"42","0","Ankaraholide A","0.214612761811982"
"43","0","Ankaraholide B","0.211706941369019"
"44","0","Tasiamid D","0.440925700365408"
"45","1","Tasiamid C","0.447408536585366"
"46","1","Tasiamid E","0.464489175845044"
"47","0","Tasipeptin A","0.649782350613376"
"48","1","Caracolamide A","0.197604790419162"
"49","1","Santacruzamate A","0.200542005420054"
"50","0","Guineamide","0.28921124206709"
"51","0","Largazole","0.284322409211692"
"52","1","Carmaphycin A","0.342713567839196"
"53","1","Carmaphycin B","0.33625730994152"
"54","0","Malevamide A","0.436619718309859"
"55","1","Malevamide B","0.450702121302659"
"56","0","Symplocamide A","0.635191637630662"
"57","0","Symplostatin 2","0.624524436640328"
"58","0","Micromide","0.410469314079422"
"59","1","Hoiamide B","0.335121489428842"
"60","1","Veraguamide D","0.373186985495884"
"61","0","Malevamide C","0.436550151975684"
"62","0","Samoamide A","0.523978685612789"
"63","1","Veraguamide G","0.373359840954274"
"64","1","Veraguamide C","0.352388410336727"
"65","1","Veraguamide E","0.386266094420601"
"66","0","Tasiamid A","0.460072963113093"
"67","1","Malevamide D","0.32744014732965"
"68","0","Symplostatin 3","0.336141195346972"
"69","1","Symplostatin 1","0.334498427123383"
"70","0","Dolastatin 10","0.320191158900836"
"71","0","Symplocin A","0.482147379083312"
"72","0","Belamide A","0.295932051855163"
"73","0","Tasipeptin B","0.595359628770302"
"74","0","Croissamide","0.483187471211423"
"75","1","Veraguamide B","0.323371647509579"
"76","0","Malevamide E","0.431225868725869"
"77","0","Tasiamid B","0.493193420306296"
"78","0","Dinghupeptin B","0.595183859420761"
"79","0","Dinghupeptin C","0.577854671280277"
"80","0","Dinghupeptin D","0.590525632706035"
"81","0","Dinghupeptin A","0.609260493004664"
"82","0","Dendroamide B","0.496231155778894"
"83","0","Dendroamide C","0.477683956574186"
"84","0","Dendroamide A","0.539893617021277"
"85","1","Biopterin-a-glucoside","0.237442922374429"
"86","1","Spumigin N","0.51062091503268"
"87","1","Dihydrospumigin M","0.519309778142975"
"88","1","Dihydrospumigin K","0.568822553897181"
"89","0","Spumigin K","0.516040955631399"
"90","1","Spumigin M","0.51062091503268"
"91","1","Dihydrospumigin N","0.519309778142975"
"92","1","Dihydrospumigin L","0.568822553897181"
"93","0","Spumigin L","0.516040955631399"
"94","1","Namalide B","0.788087056128293"
"95","1","Namalide C","0.791044776119403"
"96","0","tetraacyl-sulfo-quinovopyranosyl glycerol","0.187492244695372"
"97","0","Scytophycin A","0.256008359456635"
"98","0","Scytophycin E","0.29247311827957"
"99","0","Scytophycin C","0.279379956741168"
"100","0","Scytophycin D","0.274655355249205"
"101","0","Scytophycin B","0.278270116979794"
"102","0","19-O-deMe-scytophycin C","0.283719220874678"
"103","0","6-OH-scytophycin B","0.278357235984355"
"104","0","Mirabimide B","0.314312011044639"
"105","0","Mirabimide C","0.283595505617978"
"106","1","Mirabimide D","0.3252"
"107","0","Mirabimide A","0.296511627906977"
"108","1","Scytonemide B","0.504635227730754"
"109","0","Didehydromirabazole A","0.173218673218673"
"110","0","Mirabazole B","0.16094674556213"
"111","0","Tantazole I","0.212704523580366"
"112","1","Scytonemide A","0.641039523551705"
"113","0","Mirabazole C","0.142344497607655"
"114","0","Cyanobacterin","0.232876712328767"
"115","1","Hydroxycyanobacterin","0.201904761904762"
"116","0","Tolytoxin","0.271884984025559"
"117","0","6-OH-7-OMe-scytophycin E","0.28335056876939"
"118","0","7-Ac-scytophycin B","0.282807731434385"
"119","1","Mirabilene C isonitrile","0.194585448392555"
"120","0","Scytonemin A","0.605793265696221"
"121","0","Mirabimide E","0.20021645021645"
"122","0","Mirabilene A isonitrile","0.151609553478712"
"123","1","Mirabilene F isonitrile","0.143624161073826"
"124","0","Scytoscalarol","0.333333333333333"
"125","1","Mirabilene E isonitrile","0.191681735985533"
"126","1","Mirabilene B isonitrile","0.194585448392555"
"127","1","Mirabilene D isonitrile","0.194585448392555"
"128","1","Tutuilamide B","0.586381207255427"
"129","1","Tutuilamide A","0.595379537953795"
"130","0","Schizotrin A","0.749319237546052"
"131","1","Gallinamide A","0.289080911233307"
"132","1","Schizopeptin 791","0.92274678111588"
"133","1","Viequeamide A","0.409239723535831"
"134","1","Viequeamide B","0.442461071021648"
"135","1","4S-Hydroxyhomoanatoxin-a","0.169642857142857"
"136","0","4-Oxohomoanatoxin-a","0.174887892376682"
"137","1","4R-Hydroxyhomoanatoxin-a","0.169642857142857"
"138","0","Micropeptin K139","0.722054380664653"
"139","1","Puna<U+0092>auic acid","0.195945945945946"
"140","1","Radiosumin","0.31515812431843"
"141","0","[D-Asp3]MC-HilR","0.839339339339339"
"142","0","[D-Asp3,Mser7]MC-LR","0.78117048346056"
"143","0","Anabaenopeptin SA2","0.737891737891738"
"144","1","Anabaenopeptin SA13","0.756846081208687"
"145","0","[D-Asp3,(E)-Dhb7]MC-HtyHty","0.613712886440159"
"146","0","[D-Asp3,(E)-Dhb7]MC-HtyY","0.604511278195489"
"147","0","[D-Asp3,D-MeO-Glu6]MC-HtyR","0.72049501961968"
"148","0","[D-Asp3,DMAdda5]MC-HtyR","0.710631741140216"
"149","0","[D-Asp3,Mser7]MC-HtyR","0.693907875185735"
"150","0","Anabaenopeptin SA3","0.74261811023622"
"151","0","[D-Asp3,Thr7]MC-RR","0.754397834912043"
"152","0","[D-Asp3]MC-HphR","0.771784232365145"
"153","1","Phycocyanobilin","0.260976813024174"
"154","0","[D-Leu1,D-Asp3]MC-RR","0.74860701409374"
